class,location,firm,origin,brand,market
subcompact,Belgium,AlfaRomeo,France,AlfaRomeo,Belgium
compact,CheckRepublic,BMW,Germany,Audi,France
intermediate,France,Toyota,Italy,BMW,Germany
standard,Germany,Fiat,JapanKorea,Citroën,Italy
luxury,Italy,Ford,Spain,Daihatsu,UK
,Japan,Honda,Sweden,Ferrari,
,Korea,Hyundai,UK,Fiat,
,Netherlands,DeTomaso,,Ford,
,Romania,Kia,EasternEurope,Honda,
,Spain,Lada,US,Hyundai,
,Sweden,Mazda,Brazil,Innocenti,
,UK,Mercedes,,Jaguar,
,,Mitsubishi,,Lada,
,Russia,Nissan,,Lancia,
,Yugoslavia,GeneralMotors,,Mazda,
,Poland,Peugeot,,Mercedes,
,US,Porsche,,Mitsubishi,
,Finland,Renault,,NissanDatsun,
,Australia,Rover,,OpelVauxhall,
,Hungary,Saab,,Peugeot,
,Portugal,Seat,,Porsche,
,India,AZNP,,Renault,
,Mexico,FujiHI,,RoverTriumph,
,,Suzuki,,Saab,
,,Toyota,,Seat,
,,VW,,Skoda,
,,Volvo,,Subaru,
,,Yugo,,Suzuki,
,,Daewoo,,Toyota,
,,Daimler,,Volkswagen,
,,DAF,,Volvo,
,,Jaguar,,Yugo,
,,TalbotSimcaHillmanSunbeam,,Talbot,
,,TalbotMatra,,Kia,
,,,,Daewoo,
,,,,Rover,
,,,,MCC,
,,,,Lexus,
,,,,DAF,
,,,,Dino,
,,Lancia,,Autobianchi,
,,,,Triumph,
,,,,Princess,
,,,,TalbotHillmanChrysler,
,,,,TalbotSimca,
,,,,TalbotMatra,
